362,5
362-1,2
363,5
364,10
365,13
366-1,6
367,11
368,1
369,2
370,7
371,7
372,3
373,8
377,2
380,34
381,11
382,18
383,5
384,5
385,12
386,4
387,54
388,7
388-1,2
389,12
389-1,1
390,16
391,12
392,7
393,7
394,11
395,28
396,2
397,36
398,26
399,7
400,11
401,17
402,11
403,7
404,3
405,2
406,12
407,11
408,19
409,8
410,2
411,3
412,9
413,4
414,29
415,24
416,36
417,68
418,28
419,21
420,11
421,6
422,14
423,19
423-1,4
424,18
425,27
426,18
427,19
428,12
429,44
430,6
431,3
433,15
434,26
435,6
436,10
437,17
439,11
441,7
442,19
443,5
444,3
445,3
446,6
447,2
450,4
451,3
457,22
457-1,2
458,11
459,43
460,35
467,7
468,6
469,2
470,24
471,25
472,24
473,3
474,7
475,10
476,17
477,11
478,27
479,18
480,8
481,24
482,23
483,8
484,10
486,36
487,28
488,12
488-1,1
489,21
489-1,1
490,1
491,37
492,2
493,18
494,24
495,23
496,32
497,11
498,30
499,20
500,22
501,5
502,69
503,37
504,19
505,10
506,13
507,19
508,3
509,18
510,4
511,33
512,17
513,4
514,49
515,14
516,14
517,28
518,33
519,17
520-526,4
520.526,3
520.526-1,3
521,8
522,11
524,10
525,20
530,1
530-1,3
530-2,1
531,5
534,6
535A,5
538,3
539A,13
564,3
565,15
566,5
567,39
568,2
570,3
571,4
572,16
573,3
574,2
575,2
576,5
577,20
578,4
579,17
580,12
581,19
581A,10
582,12
583,6
585,7
587,12
591,16
592,40
594,30
595,20
600,22
600-1,6
601,3
602,4
603,14
604,10
605,6
606,3
606-1,4
607,3
607-1,1
608,2
609,4
610,1
611,2
612,3
613,11
614,22
614B,15
615,17
617,3
618,4
619,10
620,9
621B,29
623-626-630,4
627,2
628,2
629-621,4
631-624-634,6
632,2
633,2
635,6
636,2
637,2
638,1
642,1
643,16
644,17
645,11
648,21
659-1,5
660,1
661,8
661-1,1
662,14
663,25
664,11
667,3
667-1,4
668,2
669,1
670,5
671,10
673,59
674,6
675,1
676,1
676-1,4
677,12
679,9
679-1,3
680,14
681,3
683,8
684,9
685,4
685-1,2
686,8
687,5
688,3
689,96
690,19
691,17
692,2
693,4
694,12
695,3
696,28
697,18
698,15
699,15
700,15
701,7
702,11
703,4
704,8
704-1,4
705,20
706,2
707,5
709,6
710,14
711,16
721,11
723,7
727,7
728,8
730,8
739,14
741,26
742,13
745,47
788,18
792,3
793,17
800,5
801,8
802,10
804,1
805,5
807,25
810,18
811,15
812,2
813,2
813-2,1
814,19
815,1
816,6
817,5
818,3
819,4
820,3
821,2
823,18
824,3
832,5
833,1
841,3
843,2
846,12
847,6
848,4
849,1
849-1,1
850,8
853,16
854,9
856,20
857,1
874,8
886,3
887,1
888,1
889,6
890,4
896,2
897,23
898,6
898-1,5
899,3
900,33
901,25
902,16
903,5
904,22
905,7
905-1,1
906,12
907,7
908,30
911,7
916,14
974,1
975,1
976,4
977,6
978,1
979,1
980,2
980-1,2
981,2
982,2
983,2
984,3
988A,12
997,1
998,10
999,1
999-1,4
1000,8
1001,10
1002,6
1902-9,22
1004-1,1
1005,6
1006,5
1020,6
1022,27
1025,2
1027,2
1030,31
1031,5
1032,24
1034,10
1038A,24
1902-11,24
1039-1,1
1039-2,5
1039-3,8
1071,1
1072,12
1073,1
1074,3
1075,27
1076,9
1077,10
1078,13
1079,5
1080,9
1081A,5
1081B,12
1082,4
1083,7
1084A,17
1084B,10
1085A,7
1085B,9
1086A,13
1086B,11
1087,18
1088,33
1089,6
1090,17
1091,18
1092,8
1093,8
1094,8
1095,10
1096,10
1097,14
1098,14
1099,5
1100,12
1101,11
1102,8
1103,10
1104,24
1106,69
1107,125
1108,10
1109,18
1110,3
1111,26
1903-1,2
1112-1,2
1113,6
1114,8
1115,5
1116,23
1117,10
1118,3
1119,3
1120,11
1121,7
1122,15
1123,3
1124,5
1125,1
1126,10
1127,26
1128,15
1903-2,1
1129-1,6
1130,12
1132,25
1133,16
1134,13
1135,14
1136,16
1137,24
1138,29
1139,42
1140,7
1141,27
1142,1
1143,18
1144,9
1145,11
1146,15
1147,28
1148,19
1149,10
1150,7
1151,31
1152,43
1153,11
1154,110
1155,92
1156,43
1157,91
1158,56
1159,79
1160,83
1161,77
1162,262
1165,19
1166,32
1167,25
1171,43
1311,1
Mas 1039-200,1
X27,1
X36,1
X60,1
X63,8
X78-X79,11
X80,1
X81,2
X82-X83,16
X90,2
X91,2
X92,1
X93,2
X99,3
X103,1
X195,2
X196,7
X198,27
X220,2
X223,1
X225,6
X232,1
X236,1
X237,1
X238,5
